timestamp,test_name,success_count,failure_count,success_rate,execution_time_mean,execution_time_max,response_time_mean
2025-09-16T00:03:26.485558,prime_calculation_limits,3,0,1.000,34.33,44.00,46.38
2025-09-16T00:03:47.037733,prime_calculation_limits,3,0,1.000,35.67,45.00,47.58
2025-09-16T00:04:31.990590,memory_allocation_limits,5,0,1.000,36.80,64.00,40.87
2025-09-16T00:06:06.001026,prime_calculation_limits,3,0,1.000,5.67,7.00,9.09
2025-09-16T09:44:19.907155,prime_calculation_limits,3,0,1.000,7.67,9.00,11.97
2025-09-16T09:44:19.963667,matrix_operations_limits,3,0,1.000,270.00,598.00,273.09
2025-09-16T09:44:20.792572,recursive_algorithms_limits,3,1,0.750,464.33,1263.00,468.62
2025-09-16T09:44:22.225945,memory_allocation_limits,5,0,1.000,1829.80,8926.00,1833.92
2025-09-16T09:44:31.418342,string_processing_limits,4,0,1.000,79.25,269.00,82.96
2025-09-16T09:44:31.760444,timeout_limit_discovery,1,4,0.200,5003.00,5003.00,5006.82
2025-09-16T09:46:30.840794,termination_behavior,2,0,1.000,5995.50,10006.00,6001.03
2025-09-16T09:46:42.861606,concurrency_limits,51,1,0.981,2071.76,7618.00,2162.27
2025-09-16T09:46:59.828157,data_processing_limits,5,0,1.000,7362.80,36297.00,7369.51
2025-09-16T09:47:36.695409,concurrent_test,3,0,1.000,41.67,116.00,44.97
2025-09-16T21:54:39.285568,prime_calculation_limits,3,0,1.000,5.33,7.00,7.79
2025-09-16T21:54:39.320143,matrix_operations_limits,3,0,1.000,233.67,526.00,236.77
2025-09-16T21:54:40.050251,recursive_algorithms_limits,3,1,0.750,364.00,991.00,366.74
2025-09-16T21:54:41.180955,memory_allocation_limits,5,0,1.000,1351.40,6611.00,1354.27
2025-09-16T21:54:47.962171,string_processing_limits,4,0,1.000,64.25,218.00,67.37
2025-09-16T21:54:48.242861,timeout_limit_discovery,2,3,0.400,10003.00,15003.00,10007.84
2025-09-16T21:56:38.318965,termination_behavior,2,0,1.000,5882.00,10004.00,5885.33
2025-09-16T21:56:50.098742,concurrency_limits,52,0,1.000,86.63,221.00,96.91
2025-09-16T21:56:51.056541,data_processing_limits,5,0,1.000,112.20,379.00,115.17
2025-09-16T21:56:51.651355,concurrent_test,3,0,1.000,37.33,103.00,41.62
